ResourceGroup,AppServiceName,AppServicePlan,OS,SKU,Stack,State,Location,DefaultDomain,AvgCPU(%),AvgMemory(MB)
QonTango-Stage,QonTangoUtilityFe-Stage,QonTango-Stage,Windows,B1,.NET 8.0,Running,Central US,qontangoutilityfe-stage.azurewebsites.net,0.05,0.61
QonTango-Stage,qontangoClientAccessApi,QonTango-Stage,Windows,B1,.NET 8.0,Running,Central US,qontangoclientaccessapi.azurewebsites.net,0,0
QonTango-Stage,QonTangoApiStage,QonTango-Stage,Windows,B1,.NET 8.0,Running,Central US,qontangoapistage.azurewebsites.net,0.29,1.71
Qontango,QontangoAutoAssignPortal,Qontango-AppServicePlan-Free,Windows,B1,.NET 6.0,Running,Central US,qontangoautoassignportal.azurewebsites.net,0.07,0.47
Qontango,QontangoRevamp,Qontango-AppServicePlan-Free,Windows,B1,.NET 6.0,Stopped,Central US,qontangorevamp.azurewebsites.net,0,0
Qontango,QontangoDataUtility,Qontango-AppServicePlan-Free,Windows,B1,.NET 6.0,Running,Central US,qontangodatautility.azurewebsites.net,0.01,0.09
Qontango,qontangorevamp-api,Qontango-AppServicePlan-Free,Windows,B1,.NET 6.0,Running,Central US,qontangorevamp-api.azurewebsites.net,0,0
Qontango,qontangofrontend,Qontango-AppServicePlan-Free,Windows,B1,.NET 6.0,Running,Central US,qontangofrontend.azurewebsites.net,1.35,9.02
RG-CONNECTINGCOUPLES-PRD,as-connectingcouples-prd-cus-fe,asp-connectingcouples-prd-cus-fe,Linux,P0v3,Node.js 22-lts,Running,Central US,as-connectingcouples-prd-cus-fe-grhhahfhfdendhby.centralus-01.azurewebsites.net,2.77,391.59
ConnectingCouples-STG,app-connectingcouples-centralus-stg,asp-connectingcouples-stg,Linux,B1,Node.js 22-lts,Running,Central US,app-connectingcouples-centralus-stg-geafhegcafefe6f7.centralus-01.azurewebsites.net,0,0
QT-ClientAccess-Dev,QT-ClientAccess-DevFe,QT-ClientAccess-Dev,Windows,D1,.NET 8.0,Running,Central US,qt-clientaccess-devfe.azurewebsites.net,0,0.2
QT-ClientAccess-Dev,QT-ClientAccess-DevApi,QT-ClientAccess-Dev,Windows,D1,.NET 8.0,Running,Central US,qt-clientaccess-devapi.azurewebsites.net,0,0
RG-PAPICARE-DEV-CUS,as-papicare-dev-cus-fe,asp-papicare-dev-cus,Windows,D1,.NET Framework 4.0,Running,Central US,as-papicare-dev-cus-fe.azurewebsites.net,0.17,10.6
RG-PAPICARE-DEV-CUS,as-papicare-dev-cus-api,asp-papicare-dev-cus,Windows,D1,.NET 9.0,Running,Central US,as-papicare-dev-cus-api.azurewebsites.net,0.11,5.13
ConnectingCouples-Dev,app-connectingcouples-centralus-dev,asp-connectingcouples-dev,Linux,B1,Node.js 22-lts,Running,Central US,app-connectingcouples-centralus-dev-b8ghe0awfab4h2d9.centralus-01.azurewebsites.net,15.14,107.77
RG-TRACKCURE-DEV-CUS,app-trackcure-dev-cus-fe,asp-trackcure-dev-cus-fe,Linux,B1,Node.js 20-lts,Running,Central US,app-trackcure-dev-cus-fe.azurewebsites.net,0.17,3.12
rg-voice-chatbot,voice-chatbot-backend,appservice-voice-chatbotplan,Linux,B1,Python 3.12,Running,Central US,voice-chatbot-backend-cuecc9axbbemanek.centralus-01.azurewebsites.net,31.94,18.74
